structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q190012,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,58-61-7
http://www.wikidata.org/entity/Q186474,N[C@@H](CS)C(O)=O,52-90-4
http://www.wikidata.org/entity/Q21099098,C(C(CO)OP(=O)(O)O)O,17181-54-3
http://www.wikidata.org/entity/Q483745,CC(C)C[C@@H](C(=O)O)N,61-90-5
http://www.wikidata.org/entity/Q27104032,C(CC(C(=O)O)N)CN=C(N)N,7200-25-1
http://www.wikidata.org/entity/Q632384,CCCCCCCCCCCCCCCCCCO,112-92-5
http://www.wikidata.org/entity/Q511627,CCCOC(=O)C1=CC=C(C=C1)O,94-13-3
http://www.wikidata.org/entity/Q161632,CCCCCCCCCCCCCCCCO,36653-82-4
http://www.wikidata.org/entity/Q3599216,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,2457-80-9
http://www.wikidata.org/entity/Q15426256,CC(C)C(CC(=O)O)(C(=O)O)O,3237-44-3
http://www.wikidata.org/entity/Q212093,C([C@H]([C@@H]([C@H](CO)O)O)O)O,87-99-0
http://www.wikidata.org/entity/Q902204,CCCCCCCCCCCCCCCCC(=O)O,506-12-7
http://www.wikidata.org/entity/Q158348,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,59-02-9
http://www.wikidata.org/entity/Q218642,C[C@H](N)C(O)=O,56-41-7
http://www.wikidata.org/entity/Q306140,C(CC(=O)O)C(=O)C(=O)O,328-50-7
http://www.wikidata.org/entity/Q410198,NCCC[C@H](N)C(O)=O,70-26-8
http://www.wikidata.org/entity/Q27104217,C([C@H](C(=O)O)O)O,6000-40-4
http://www.wikidata.org/entity/Q418214,C(CO)[C@@H](C(=O)O)N,672-15-1
http://www.wikidata.org/entity/Q23905964,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,2280-44-6
http://www.wikidata.org/entity/Q622421,CC(C)CC(=O)C(=O)O,816-66-0
http://www.wikidata.org/entity/Q188017,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,60-18-4
http://www.wikidata.org/entity/Q178450,N[C@@H](CC(O)=O)C(O)=O,56-84-8
