smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,1,1,1,
CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,0,0,1,
CC1=C(C=C(C=C1)Cl)[N+](=O)[O-],1,,,
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0,0,1,
CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,1,,,
CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)[C@@H]3[C@@H](C3(C)C)/C=C(/C(F)(F)F)\Cl,1,1,,
CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,1,0,0,
CC1=CC(=CC=C1)O,0,0,0,
CC1=CC(=CC=C1)[N+](=O)[O-],0,1,,
CC1=CC(=NC(=N1)NC2=CC=CC=C2)C,1,1,1,1
CC1=CC2=C(C=C1)N=C(C=C2)C,1,,0,
CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C,1,,,
CC1=CC=CC=C1O,0,,0,
CC1=CC[C@H](CC1=O)C(=C)C,0,,,
CC1CC2=C1C3=C(C4=C2C(C45CC5C)C)S(=O)(=O)OC(C3)C,0,1,0,
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,1,1,1,1
CCC(C)(C(=O)CCl)NC(=O)C1=CC(=C(C(=C1)Cl)C)Cl,1,1,1,1
CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,1,,,
CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O,1,,1,
CCC(C)NC1=C(C=C(C=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-],0,1,1,1
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,1,0,1,
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,1,0,1,1
CCC1=CC=CC(=C1N([C@@H](C)COC)C(=O)CCl)C,0,0,1,1
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,0,0,1,
CCCCC(C)O,0,,,
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,1,1,1,
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0,,,
CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,0,0,,
CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,1,0,1,
CCCCC=C,0,0,,
CCCCCC/C=C\CCCCCCCC1=CC(=CC(=C1)O)O,1,,,
CCCCCCCC=C,1,1,,
CCCCCCCCCC(CCCCCCCC)N(C(CCCCCCCC)CCCCCCCCC)C(CCCCCCCC)CCCCCCCCC,1,,,
CCCCCCCCCC1=CC=C(C=C1)OCCOCCO,1,0,0,
CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C,1,1,0,
CCCCCCCO,0,,0,
CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC,0,,,
CCCCCO,0,0,0,
CCCCOC(=O)C,0,,,
CCCCOC(=O)C(C)O,0,0,0,
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,0,0,0,
CCCCOCN(C1=C(C=CC=C1CC)CC)C(=O)CCl,1,,1,
CCCCOP(=O)(OCCCC)OCCCC,1,,0,
CCCC[C@@](CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl,1,,,
CCCC[N+](CCCC)(CCCC)CCCC.C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(C(F)(F)F)(F)F,1,,,
CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2,0,1,,
CCCOP(=O)(OCCC)OCCC,0,,,
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N,0,0,1,1
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,1,,,
CCOC(=O)C(C)O,0,0,0,
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,1,1,,
CCOC(=O)OC1=C(C(=O)NC12CCC(CC2)OC)C3=C(C=CC(=C3)C)C,0,0,1,1
CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,1,1,1,
CCOP(=O)(OCC)OCC,0,,,
CCOP(=S)(OCC)O/N=C(\C#N)/C1=CC=CC=C1,1,,0,
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],1,1,,
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,1,1,,1
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,1,1,0,
CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,1,1,1,
CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,0,,,
CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,1,1,1,
CN,0,0,,
CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,1,1,1,1
CN(C)C1=CC=CC=C1,1,0,,
CN(C1=CC=CC(=C1F)C(=O)NC2=C(C=C(C=C2Br)C(C(F)(F)F)(C(F)(F)F)F)C(F)(F)F)C(=O)C3=CC=CC=C3,1,,,
CN(CC(CO)O)C(=O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)NC(=O)COC)I,0,,,
CNC(=O)OC1=CC=CC2=CC=CC=C21,0,1,1,1
CNC.C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,0,,,
CNC1=CC=CC=C1,1,,,
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,1,,1,
CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,1,,,
CO,0,0,0,0
COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,1,1,,
COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,1,1,1,1
COC(=O)NC1=NC2=CC=CC=C2N1,1,1,,
COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,1,1,,
COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,1,,1,
COC1=CC=CC=C1,1,,0,
COP(=O)(C(C(Cl)(Cl)Cl)O)OC,0,1,0,
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,1,1,,
CSSC,1,,0,1
C[C@@H]1CO[C@@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,1,,,
C[C@@H]1CO[C@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,1,,,
C[C@H]1CO[C@@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,1,,,
C[C@H]1CO[C@](O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,1,,,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,1,,,
C(=C/Cl)\Cl,,0,,
C(C(Cl)(Cl)Cl)Cl,,0,,
C(CCl)CCl,,0,0,0
C(CO)NCCO,,0,0,0
C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=C(C(=C2Cl)Cl)Cl)Cl,,0,0,0
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,,0,0,1
CC1(C2CCC(C2)C1=C)C,,0,0,0
CC1=CC(=O)CC(C1)(C)C,,0,0,0
CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,,0,0,
CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O,,0,0,
B1(OCCC(O1)C)OCCC(C)OB2OCCC(O2)C,,0,,
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,,1,1,1
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,,1,1,1
C(/C=C/COC(=O)CBr)OC(=O)CBr,,1,,
C(=C(/C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)\F)\C(=O)O,,1,1,
C(=C(Br)Br)Br,,1,,
C(=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)O,,1,1,
C(=C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)C(=O)O,,0,0,
C(=C(Cl)Cl)Cl,,1,0,0
C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,0,,
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,0,0,
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,0,,
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,0,,
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,0,,
C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,,0,0,
