smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)C(C)(C)C)C,,1,,
CCC1=NN(C(=C1Cl)C(=O)NCC2=CC=C(C=C2)OC3=CC=C(C=C3)C)C,,1,1,
CCC1COC(=O)O1,,0,0,
CCC=O,,0,,
CCCC(CN1C=NC=N1)C2=C(C=C(C=C2)Cl)Cl,,1,,
CCCC/C=C/CC/C=C\CCCCCCOC(=O)C,,1,,
CCCCC,,1,,
CCCCC(CC)C(=O)O,,0,0,
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,,1,0,
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCCCC,,1,,
CCCCC(CC)COC(=O)COC1=C(C=C(C=C1)Cl)Cl,,1,0,1
CCCCC(CCC)COC(=O)C1=CC=CC=C1C(=O)OCCC(CC)CC,,1,,
CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,,1,,
CCCCC1=CC=CC=C1,,1,1,
CCCCCC,,1,,
CCCCCC(C)(CC)C(=O)NC,,0,1,
CCCCCC(C)OC(=O)COC1=C2C(=C(C=C1)Cl)C=CC=N2,,0,,
CCCCCC1=CC=C(C=C1)O,,1,1,
CCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br,,1,1,
CCCCCCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)/C=C/C,,1,,
CCCCCCC(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,0,,
CCCCCCCC,,1,,
CCCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br,,1,1,1
CCCCCCCC/C=C\CCCOC(=O)C,,1,,
CCCCCCCCC(=O)O,,0,,
CCCCCCCCC1=CC=C(C=C1)N,,1,,
CCCCCCCCCC,,1,0,0
CCCCCCCCCC(=O)C,,1,1,
CCCCCCCCCC(=O)OC.CCCCCCCC(=O)OC,,1,,
CCCCCCCCCC1=CC=C(C=C1)O,,1,1,
CCCCCCCCCC1=CC=CC=C1O,,1,,
CCCCCCCCCCC1=CC=C(C=C1)N,,1,,
CCCCCCCCCCCCC/C=C\CCCCCCCC,,1,,
CCCCCCCCCCCCC1=CC=C(C=C1)N,,1,,
CCCCCCCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCCCCN(C)C,,1,1,
CCCCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCN,,1,,
CCCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCCCC,,1,,
CCCCCCCCCCCCN,,1,,
CCCCCCCCCCCN,,1,,
CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC,,0,,
CCCCCCCCCCCOCCO,,1,,
CCCCCCCCCCN,,1,,
CCCCCCCCCCO,,1,1,
CCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)O,,0,0,
CCCCCCCCCN,,1,,
CCCCCCCCCS,,1,,
CCCCCCCCN,,1,1,
CCCCCCCCN1C(=O)C=CS1,,1,,
CCCCCCCCSC(=O)OC1=CC(=NN=C1C2=CC=CC=C2)Cl,,1,,
CCCCCCCCSCCO,,1,,
CCCCCCCN,,1,,
CCCCCCN,,1,,
CCCCCCNCCCCCC,,1,,
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,,1,,
CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C,,1,,
CCCCCN,,0,,
CCCCCN(CCCCC)CCCCC,,1,,
CCCCCOC(=O)C(C)O,,0,0,
CCCCCl,,0,0,
CCCCN,,0,,
CCCCN(CC)C(=O)SCCC,,1,1,1
CCCCN(CCCC)CCO,,0,0,
CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,,1,1,
CCCCNC(=O)OCC#CI,,1,1,
CCCCO,,0,0,
CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,,0,,
CCCCOC(=O)C1=CC=C(C=C1)O,,1,,
CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F,,1,,1
CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,,0,1,
CCCCOC(C)COC(=O)COC1=C(C=C(C=C1)Cl)Cl,,0,,
CCCCOCC(C)OCC(C)O,,0,,
CCCCOCCO,,0,0,
CCCCOCCOC(=O)C(C)OC1=C(C=C(C=C1)Cl)Cl,,0,,
CCCCOCCOC(=O)COC1=NC(=C(C=C1Cl)Cl)Cl,,0,,
CCCCOP(=O)(OCCCC)OC1=CC=CC=C1,,1,,
CCCCSP(=O)(SCCCC)SCCCC,,1,,1
CCCN,,0,,
CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C,,1,1,1
CCCN(CCC)C(=O)SCC,,0,1,1
CCCN(CCC)C(=O)SCCC,,1,1,
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(C)C)[N+](=O)[O-],,1,,
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,1,1,1
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-],,1,1,1
CCCN(CCCl)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,1,,
CCCO,,0,,
CCCOC(=O)C1=CC=C(C=C1)O,,0,,
CCCOC(=O)C1=CN=C(C=C1)C(=O)OCCC,,0,,
CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC,,1,,
CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,,1,,
CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,,1,,
CCCSP(=S)(OCC)OC1=CC=C(C=C1)SC,,1,,
CCN(C1CCCCC1)C(=O)SCC,,0,,
CCN(CC)C(=O)/C(=C(\C)/OP(=O)(OC)OC)/Cl,,1,,
CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21,,0,,
CCN(CC)C(=O)C1=CC=CC(=C1)C,,0,,
CCN(CC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],,1,,
CCN(CC)C1=CC=CC=C1,,1,1,
CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,,1,,
CCN(CC)C1CCCCC1,,1,,
CCN(CC1=C(C=CC=C1Cl)F)C2=C(C=C(C=C2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,1,1,
CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O,,1,0,
CCN1CN(CN(C1)CC)CC,,0,,
CCNC(=O)NC(=O)/C(=N/OC)/C#N,,1,1,1
CCNC1=CC=CC2=CC=CC=C21,,1,,
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,,0,1,1
CCNC1=NC(=NC(=N1)N)Cl,,0,1,
CCNC1=NC(=NC(=N1)OC)NC(C)(C)C,,0,1,
CCNC1=NC(=O)NC(=N1)NC(C)C,,1,,
CCNP(=S)(OC)O/C(=C/C(=O)OC(C)C)/C,,1,,
CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,1,,
CCO,,0,,0
CCOC(=O)C(C)OC1=CC=C(C=C1)O,,0,,
CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl,,1,,
CCOC(=O)C(C)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,,1,1,
CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC,,1,,
CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl,,1,1,1
CCOC(=O)C1=NN(C(C1)(C)C(=O)OCC)C2=C(C=C(C=C2)Cl)Cl,,0,,
CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3,,1,1,
CCOC(=O)COC1=C(C=C(C(=C1)N2C(=O)C(=C(C=N2)C(F)(F)F)C)F)Cl,,1,1,1
CCOC(=O)CSC1=NC(=NN1C(=O)N(C)C)C(C)(C)C,,0,0,
CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,,1,1,1
CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2,,1,1,
CCOC1=C(C=CC(=C1)C(C)(C)C)C2COC(=N2)C3=C(C=CC=C3F)F,,1,,
CCOC1=C(C=CC(=C1)NC(=O)C)C(=O)OC,,0,,
CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],,1,1,1
CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,,1,1,
CCOC1=NC(=CC2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3Cl)Cl)F,,0,1,0
CCOC1=NC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)NC,,0,1,
CCOC1=NC(=NS1)C(Cl)(Cl)Cl,,1,1,1
CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C,,0,1,
CCOCCOCCO,,0,0,
CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,,1,,
CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C,,1,0,
CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],,1,,
CCOP(=O)(OCC)OC1=NC(=NC(=C1)C)C(C)C,,1,,
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],,1,,1
CCOP(=S)(CC)SC1=CC=CC=C1,,1,,
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,,1,,
CCOP(=S)(OC1=CN=C(N=C1)C(C)(C)C)OC(C)C,,1,,
CCOP(=S)(OCC)OC1=C(C=C(C=C1)Cl)Cl,,1,,
CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1,,1,,
CCOP(=S)(OCC)OC1=NN(C(=O)C=C1)C2=CC=CC=C2,,1,,
CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,,1,,
CCOP(=S)(OCC)SCCSCC,,1,,
CCS(=O)(=O)C1=C(N2C=CC=CC2=N1)S(=O)(=O)NC(=O)NC3=NC(=CC(=N3)OC)OC,,0,1,0
CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,0,1,1
CCS(=O)CCSP(=O)(OC)OC,,1,,
CCSC(=O)N(CC(C)C)CC(C)C,,0,1,
CCSC(=O)N1CCCCCC1,,1,1,1
CCSCCSP(=S)(OC)OC,,1,,
CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O.C(#N)S,,0,,
CC[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/C[C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)\C)C,,1,1,
CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@@H]3[C@H]([C@@H]2CC(=O)O1)CC[C@H]4[C@H]3C[C@@H](C4)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OCC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C,,1,,
CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C(=C[C@H]3[C@@H]2CC(=O)O1)C)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OCC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C,,1,,
CN(C)C(=N)N=C(N)N,,0,,
CN(C)C(=O)C1=CC=CC=C1NS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,0,,
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,,1,1,1
CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,,1,1,1
CN(C)C/C=C/CN(C)C,,0,,
CN(C)CCCN(C)C,,0,,
CN(C)CCOC(=O)C=C,,0,,
CN(C)N,,0,1,
CN(C)NC(=O)CCC(=O)O,,0,,
CN(C)S(=O)(=O)N(C1=CC=CC=C1)SC(F)(Cl)Cl,,1,1,
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(F)(F)F)C2=C(C=C(C=C2Br)Br)Br,,1,,
CN(CCO)O,,0,,
CN(CCO)S(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0,,
CN/C(=N\[N+](=O)[O-])/NCC1=CN=C(S1)Cl,,0,0,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,0,1,1
CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3.COS(=O)(=O)[O-],,1,,
CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C,,0,1,1
CN1C(=O)C2=C(S1)CCC2,,1,,
CN1C(=O)C2=CC=CC=C2S1,,1,1,1
CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3CC3C4CC4,,1,1,1
CN1C=C(C(=O)C(=C1)C2=CC(=CC=C2)C(F)(F)F)C3=CC=CC=C3,,1,,
CN1CCCC1,,0,,
CN=C=S,,1,1,
CNC(=O)CSP(=O)(OC)OC,,1,,
CNC(=O)CSP(=S)(OC)OC,,1,0,0
CNC(=O)O/N=C(/C(=O)N(C)C)\SC,,1,1,1
CNC(=O)OC1=CC=CC(=C1)N=CN(C)C,,1,,
CNC1=C(C(=O)N(N=C1)C2=CC=CC(=C2)C(F)(F)F)Cl,,0,1,
CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,,1,1,
CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,,1,1,1
COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,,0,,0
COC(=O)C1=C(C=CC(=C1)OC2=C(C=C(C=C2)Cl)Cl)[N+](=O)[O-],,1,1,
COC(=O)C1=CC=C(C=C1)O,,0,0,
COC(=O)C1=CC=CC=C1C(=O)O,,0,0,
COC(=O)C1=CC=CC=C1C(=O)OC,,0,0,0
COC(=O)C1=CC=CC=C1N,,0,,
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F,,0,,1
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,,1,1,1
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F,,1,,
COC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C3=CC=CC=C3,,1,,
COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,,1,,
COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,,0,1,
COC1=C(C=C(C=C1)C(=O)O)O,,0,,
COC1=C(C=C(C=C1)C(=O)O)OC,,0,,
COC1=C(C=CC(=C1)C(=O)O)O,,0,,0
COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C,,1,1,
COC1=C(C=CC(=C1)Cl)OC2=C(C=C(C=C2)Cl)Cl,,1,,
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,,0,1,1
COC1=CC(=C(C=C1Cl)OC)Cl,,1,,
COC1=CC(=C(C=C1N)Cl)OC,,1,,
COC1=CC(=CC(=C1)O)OC,,1,,
COC1=CC(=CC(=C1O)OC)C(=O)O,,0,,
COC1=CC(=CC(=C1OC)OC)C(=O)O,,0,,
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,,0,0,
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC,,0,1,0
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,,0,1,1
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(N=C3N2C=CC=C3)Cl)OC,,0,1,0
COC1=CC=C(C=C1)C(=O)O,,0,,
COC1=CC=C(C=C1)C(C2CC2)(C3=CN=CN=C3)O,,0,0,
COC1=CC=C(C=C1)N,,1,0,
COC1=CC=CC(=C1)N,,1,,
COC1=CC=CC=C1N,,1,,
COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC,,0,0,0
COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,,0,1,
COC1=NC=C(C2=NC(=NN21)S(=O)(=O)NC3=C(C=CC=C3F)F)F,,0,0,0
COC1=NN(C(=O)S1)CSP(=S)(OC)OC,,1,1,
COCC(=O)NC1=C(C=CC(=C1)SC2=CC=CC=C2)N=C(NC(=O)OC)NC(=O)OC,,1,,
COCCOCCO,,0,,
COP(=O)(N)SC,,1,,
COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,,1,1,1
COP(=S)(OC)OC1=CC=C(C=C1)SC2=CC=C(C=C2)OP(=S)(OC)OC,,1,,
COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],,1,,1
COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,,1,,
CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3,,1,1,
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],,0,1,0
CSC1=NC2=CC=CC=C2S1,,1,,
C[C@@H](C(=O)O)O,,0,0,
C[C@@H](CCCC(C)(C)OC)C/C=C/C(=C/C(=O)OC(C)C)/C,,1,,
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,,0,,
C[C@@H]1CN(C[C@@H](O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C,,1,1,
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,,0,,
C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC(=O)CSC#N,,1,,
C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)O)OC2=O)O,,0,,
C[C@H](C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,,0,,
C[C@H](C(=O)O)OC1=CC=C(C=C1)OC2=NC3=C(O2)C=C(C=C3)Cl,,0,1,
C[C@H](C(=O)OCC#C)OC1=CC=C(C=C1)OC2=C(C=C(C=N2)Cl)F,,0,1,
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,,0,,
C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)\C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C8CCCCC8)C)O,,1,,
C[C@H]1CC2=C([C@@H]1NC3=NC(=NC(=N3)N)C(C)F)C=C(C=C2)C,,1,1,1
C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,,1,,
C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,,0,,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,,1,,
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,,1,,
C(COP(=O)(N)N(CCCl)CCCl)C(=O)O,,,0,
C1CNP(=O)(OC1)NCCCl,,,0,
C1COCCN1CCCS(=O)(=O)O,,,0,
C1COP(=O)(NC1=O)N(CCCl)CCCl,,,0,
C(=O)C=O,,,0,
C(Br)(Br)Br,,,0,0
C(CN)N,,,0,
C(CNCCN)N,,,0,
C(CNCCNCCN)N,,,1,
C(CO[N+](=O)[O-])OCCO[N+](=O)[O-],,,0,
C/C=C/C=O,,,1,
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O)O,,,1,
C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,,,1,
C1=C(C(=C(C(=C1Cl)Cl)Cl)O)O,,,1,
C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,,,1,1
C1=C(C(=CC(=C1Br)O)Br)O,,,0,
C1=C(C(=CC(=C1Cl)Cl)O)O,,,1,
C1=C(C(=O)C(=CC1=O)Br)Br,,,0,
C1=C(C(=O)C=C(C1=O)Br)Br,,,0,
C1=CC(=C(C(=C1)Br)O)Br,,,0,
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F,,,1,
C1=CC(=C(C(=C1O)Cl)Cl)Cl,,,1,
C1=CC(=C(C(=C1O)O)Cl)Cl,,,1,
C1=CC(=C(C=C1O)C(F)(F)F)[N+](=O)[O-],,,1,
C1=CC(=C(C=C1O)Cl)Cl,,,0,
C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N,,,1,
C1=CC(=CC(=C1)Cl)O,,,0,
C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,,,1,
C1=CC(=CC=C1C2=C(C(=C(N2)C(F)(F)F)Br)C#N)Cl,,,1,1
C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2Cl)Cl)Cl,,,1,
C1=CC(=NC(=C1Cl)C(=O)O)Cl,,,1,
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl,,,1,1
C1=CC=C(C=C1)OC2=CC=CC=C2,,,1,1
C1=CC=C2C(=C1)C3=CC=CC=C3O2,,,1,1
C1=CC=C2C(=C1)C=C3C=CC=CC3=N2,,,1,
C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,,1,
C1CC1C2=NC(=C(C(=N2)N)Cl)C(=O)O,,,0,0
C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31,,,1,1
C=C(Cl)Cl,,,0,0
CC(=O)C=C,,,1,
CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,,,0,
CC(C)(C)NC1=NC(=NC(=N1)N)SC,,,1,
CC(C)N(C1=CC=C(C=C1)F)C(=O)COC2=NN=C(S2)C(F)(F)F,,,1,1
CC(C)NC[C@@H](COC1=CC=C(C=C1)CC(=O)N)O,,,0,
CC(C)NC[C@H](COC1=CC=C(C=C1)CC(=O)N)O,,,0,
CC(C)OP(=O)(OC(C)C)F,,,0,
CC(CC1=CC=C(C=C1)C(C)(C)C)CN2CCCCC2,,,1,
CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C.CN1C(=O)C(C(=O)N(C1=O)C)C(=O)NC2=CC(=C(C=C2)Cl)Cl,,,1,
CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C,,,1,
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,,,1,1
CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl,,,1,
CC1=C(S(=O)CCO1)C(=O)NC2=CC=CC=C2,,,1,
CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,,1,1
CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C,,,1,
CCC(CN1CCOCC1)[N+](=O)[O-],,,1,
CCC1=C(C(=CC=C1)CC)N(CC(=O)OCC)C(=O)CCl,,,1,
CCCC1=CC=CC=C1,,,1,
CCCCCCC(C)OC(=O)COC1=NC(=C(C(=C1Cl)N)Cl)F,,,1,1
CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],,,1,
CCCCOCCCC,,,0,0
CCCCS,,,0,
CCCOCC(=NC1=C(C=C(C=C1)Cl)C(F)(F)F)N2C=CN=C2,,,1,1
CCN(C1=CC=CC=C1)C(=O)OC2=CC=CC(=C2)NC(=O)OC(C)C,,,1,
CCN(CC)N=O,,,0,
CCNC1=NC(=NC(=N1)SC)NCC,,,1,
CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,,0,
CCOP(=S)(OCC)OC1=NC=CN=C1,,,0,
CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,,,1,
CN(C)C(=O)C1=C(C=C(C=C1)NC=O)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,,0,0
CN(C)C(=S)SSC(=S)N(C)C,,,1,
CN(C1=CC=CC=C1)C(=O)COC2=NC3=CC=CC=C3S2,,,1,
CN1C(=O)N(OC1=O)C2=CC(=C(C=C2)Cl)Cl,,,1,
CN1C2=C(N=C1Cl)N(C(=O)N(C2=O)C)C,,,0,
CNC(=O)C(=O)NC,,,0,
CNC(=O)N,,,0,
CNC(=O)N(C)C1=NC2=CC=CC=C2S1,,,1,
CNC(=O)NC,,,0,
COC(=O)C=C,,,0,
COC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O,,,1,
COC1=C(C(=C(C(=C1Cl)Cl)Cl)OC)O,,,1,
COC1=C(C(=C(C=C1O)Cl)Cl)Cl,,,1,
COC1=CC(=C(C(=C1O)Cl)Cl)Cl,,,1,
COC1=CC(=C(C=C1O)Cl)Cl,,,1,
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC,,,1,
COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)NC2=CC=CC=C2C(=O)C3CC3)OC,,,1,
CP(=O)(CCC(C(=O)O)N)O,,,0,
C[C@@H](C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,,,1,
